ac,cal,cnl,den,gr,pe,rt10,rt20,rt30,rt60,rt90,toc
235.292,8.5256996155,17.162,1.9854999781,12.968299866,7.9699997902,1950.0,1950.0,3.9402000904,75.708900452,105.97859955,0.2914
243.447,8.543800354,15.8765,2.0353999138,12.024499893,7.9879999161,1950.0,1950.0,4.0822000504,89.735298157,132.8321991,0.2554
245.169,8.5317001343,16.904,2.0534000397,10.929200172,7.9759998322,1950.0,1950.0,3.8917000294,96.278297424,170.12019348,0.2269
245.368,8.543800354,17.474,2.0450999737,11.190999985,7.9879999161,1950.0,1950.0,3.8278000355,110.959198,216.55670166,0.207
244.086,8.543800354,16.353,2.0264000893,13.17029953,7.9879999161,1950.0,1950.0,3.9270999432,119.7059021,245.04859924,0.209
242.262,8.543800354,15.7935,2.0183000565,14.046199799,7.9879999161,1950.0,1950.0,4.1111998558,125.39299774,247.72729492,0.2453
239.285,8.543800354,16.034,2.0225000381,14.699999809,7.9879999161,1950.0,1950.0,4.2718000412,126.2766037,233.63989258,0.3243
234.897,8.5377998352,15.784,1.9931999445,14.702699661,7.9819998741,1950.0,1950.0,6.0240998268,142.32409668,261.65438843,0.3787
229.635,8.5317001343,15.9313,1.9911999702,14.044300079,7.9759998322,1950.0,1950.0,9.5675001144,156.73460388,293.51449585,0.4027
223.913,8.543800354,16.4485,1.9990999699,14.041899681,7.9879999161,1950.0,1950.0,12.190999985,166.70199585,336.84039307,0.3896
216.679,8.5377998352,12.0528,1.9857000113,14.041899681,7.9819998741,1950.0,1950.0,15.697999954,162.55889893,364.66809082,0.377
209.688,8.5317001343,10.684,1.969900012,15.265999794,7.9759998322,1950.0,1950.0,24.950799942,140.4822998,349.15029907,0.3719
204.351,8.5499000549,8.42,1.9546999931,14.393099785,7.993999958,1950.0,1950.0,42.879699707,114.60829926,303.83349609,0.3792
200.074,8.543800354,6.187,1.9558000565,13.951499939,7.9879999161,1950.0,1950.0,43.78319931,94.015899658,252.64320374,0.2933
198.906,8.5256996155,5.1485,1.9585000277,12.508000374,7.9699997902,1950.0,1950.0,22.805999756,81.323097229,212.68600464,0.2164
199.38,8.5499000549,6.111,1.9653999805,11.191399574,7.993999958,1950.0,1950.0,8.570599556,62.411998749,178.06520081,0.1615
200.913,8.5377998352,7.4105,1.9660999775,10.359700203,7.9819998741,1950.0,1950.0,25.412599564,60.658599854,161.57420349,0.1395
202.898,8.543800354,8.429,1.9809000492,11.235099792,7.9879999161,1950.0,1950.0,39.816299438,74.848800659,149.47970581,0.1321
208.157,8.5317001343,11.487,1.975200057,14.310099602,7.9759998322,1950.0,1950.0,62.957901001,70.843002319,141.91929626,0.1333
214.003,8.5377998352,13.792,1.9901000261,17.116800308,7.9819998741,1950.0,1950.0,119.82350159,59.263000488,136.42590332,0.1331
